District,State Country,Location,Team #,Related team #'s,Most Recent Yr,Rookie Year,Lat/Lon,Accurate Coord,school name,Name,Notes,,,,,,
,TX,"Houston, TX",3363,,,,"29.69773,-95.490234",1,"Energized for STEM Academy, Inc. HS West",,,,,,,,
,FL,"Tallahassee, FL",3364,,,,"30.43713,-84.320412",0,Panhandle Pirates,,,,,,,,
,TX,"Roscoe, TX",3366,,,,"32.439059,-100.540964",1,Roscoe Collegiate High School,,,,,,,,
,MN,"White Earth, MN",3367,,,,"47.096618,-95.843494",1,Circle of life School,,,,,,,,
,Herzegovina,"Mostar, Herzegovina",3368,,,,"43.333333,17.8",0,BAE Systems & United World College in Mostar,,,,,,,,
,TX,"Pflugerville, TX",3369,,,,"30.440122,-97.66313",1,Harmony Science Academy North Austin,,,,,,,,
,TX,"Irving, TX",3370,,,,"32.867945,-96.962113",1,The Texas High School Project Fund of Communities Foundation of Texas & Jack E. Singley Academy,,,,,,,,
,SC,"Greer, SC",3371,,,,"34.944628,-82.224304",1,"J. Harley Bonds Career Center, Blue Ridge High School, Eastside High School, Greer High School, Riverside High School, Wade Hampton High School, Greenville County Schools",,,,,,,,
,VA,"Warrenton, VA",3373,,,,"38.733139,-77.800561",1,Highland School,,,,,,,,
,WY,"Jackson Hole, WY",3374,,,,"43.457,-110.8",1,Jackson Hole High School,,,,,,,,
,Canada-ON,"Toronto, ON Canada",3375,,,,"43.793511, -79.426528",1,TDSB & Newtonbrook S.S.,,,,,,,,
,FL,"Satellite Beach, FL",3376,,,,"28.186844,-80.597032",1,Satellite High School,,,,,,,,
,TX,"Lumberton, TX",3377,,,,"30.255506,-94.217746",1,FIRST / The Houston Endowment & Lumberton High School Robotics Club,,,,,,,,
,Israel,"Beit-Shean, Northern Israel",3378,,,,"32.493927,35.491548",0,SRT & Ort Dati Beit Shean,,,,,,,,
,Canada-QC,"Montreal, QC, Canada ",3379,,,,"45.529082,-73.557216",1,École Pierre-Dupuy & (Youth Fusion Jeunesse-Bell-BMO-Bombardier-CAE-Hydro Québec),,,,,,,,
,AZ,"Whiteriver, AZ",3380,2184,,,"33.833383,-109.968711",1,Resolution Copper Company & Alchesay High School,,,,,,,,
,WI,"Sheboygan Falls, WI",3381,,,,"44.068919,-87.883916",1,Valders,,,,,,,,
,Canada-QC,"Montreal, QC, Canada ",3382,,,,"45.613661,-73.621563",1,École Henri-Bourassa & (Youth Fusion Jeunesse-Bell-BMO-Bombardier-CAE-Hydro Québec),,,,,,,,
,Israel,"omer, Southern Israel",3383,,,,"31.264305,34.849864",0,SRT & makif omer,,,,,,,,
,TX,"Dallas, TX",3384,,,,"32.746913,-96.854229",1,Greater Texas Foundation & Sunset HIgh School,,,,,,,,
,Israel,"Gesher Haziv, Northern Israel",3385,,,,"33.040532,35.110563",0,milouot / Iscar / A.Z industries / SRT & sulam tzor,,,,,,,,
,Canada-QC,"Montreal, QC, Canada ",3386,,,,"45.477282,-73.586891",1,École Saint-Henri & (Youth Fusion Jeunesse-Bell-BMO-Bombardier-CAE-Hydro Québec),,,,,,,,
,Canada-QC,"Montreal, QC, Canada ",3387,,,,"45.455773,-73.592229",1,École Honoré-Mercier & (Youth Fusion Jeunesse-Bell-BMO-Bombardier-CAE-Hydro Québec),,,,,,,,
,Israel,"Gan Yavne, Central Israel",3388,,,,"31.783056,34.703101",0,SRT & Rabin,,,,,,,,
,MD,"Salisbury, MD",3389,,,,"38.349412,-75.573878",1,Eastern Shore Robotics & Parkside High School-CTE,,,,,,,,
,Turkey,"Ankara, Turkey",3390,,,,"39.942928,32.860481",0,Ankara Özel Tevfik Fikret Okullari,,,,,,,,
,TX,"Grand Prairie, TX",3392,,,,"32.756167,-97.012172",1,Texas High School Project & Harmony Science Academy,,,,,,,,
,WA,"Puyallup , WA",3393,,,,"47.191218,-122.302626",1,The Boeing Company & Puyallup High School First Team,,,,,,,,
,NC,"Hudson, NC",3394,,,,"35.853372,-81.481384",1,Google & Caldwell Career Center Middle College & Caldwell Early College High School,,,,,,,,
,Canada-ON,"Richmond Hill, ON Canada",3396,,,,"43.895062,-79.466686",1,St Theresa of Lisieux Catholic High School,,,,,,,,
,MO,"University City, MO",3397,,,,"38.664462,-90.329322",1,Boeing & University City High School,,,,,,,,
,MI,"Detroit, MI",3398,,,,"42.343764,-83.014428",1,SRT & Martin Luther King Jr. Senior High School,,,,,,,,
,MI,"Detroit, MI",3399,,,,"42.384985,-83.019142",1,SRT & Kettering-West Wing,,,,,,,,
,MI,"Detroit, MI",3400,,,,"42.383611,-83.318693",1,SRT & A. Philip Randolph Career & Technical Center,,,,,,,,
,MI,"Orchard Lake, MI",3401,,,,"42.595041,-83.356195",1,"Advanced Data Research Florida, Inc & Orchard Lake St. Mary's",,,,,,,,
,NC,"Lenoir, NC",3402,,,,"35.854656,-81.482654",1,"Google & South, West, and Hibriten High Schools",,,,,,,,
,CO,"Colorado Springs, CO",3403,,,,"38.931589,-104.704536",1,Melching Machines / FGM & Vista Ridge High School,,,,,,,,
,GA,"Macon, GA",3404,4941,,,"32.901693,-83.771288",1,Howard High school,,,,,,,,
,UT,"Spanish Fork, UT",3405,,,,"40.11141,-111.616588",1,SRT & Maple Mountain High School,,,,,,,,
,Turkey,"Istanbul, IS Turkey",3406,,,,"41.02798,28.97505",0,Ottoman RoboTecnics,,,,,,,,
,MN,"Arden Hills, MN",3407,,,,"45.064337,-93.179576",1,Pentair Corporation & Mounds View High School,,,,,,,,
,CA,"Los Angeles, CA",3408,,,,"34.044272,-118.296656",1,Loyola High School Los Angeles,,,,,,,,
,TX,"Cedar Hill, TX",3409,,,,"32.594408,-96.9743",1,Cedar Hill Collegaite High School,,,,,,,,
,FL,"Plantation, FL",3410,,,,"25.692994,-80.371735",1,Motorola Inc. & Fort Lauderdale High School & TERRA Environmental Research Institute,,,,,,,,
,MS,"Horn Lake, MS",3411,,,,"34.933534,-90.048744",1,Medtronic Inc. & Horn Lake High School,,,,,,,,
,MA,"Wilbraham, MA",3412,,,,"42.111165,-72.441359",1,FloDesign Wind Turbine Corp / Yield Management Corporation / Western New England College / Herbert Vieira / Mohammad Khosrowjerdi / Glenn Hanson / Elizabeth L George / William G Lyons III / Michael J Margolis DDS & Minnechaug Regional High School,,,,,,,,
,TX,"Coppell, TX",3413,,,,"32.97499,-96.998055",1,United Technologies (Sikorsky Aircraft) & Coppell High School,,,,,,,,
,MI,"Farmington, MI",3414,,,,"42.464429,-83.36019",1,SRT & Farmington High School,,,,,,,,
,MI,"Montrose , MI",3415,,,,"43.180944,-83.88598",1,SRT & Montrose Flushing,,,,,,,,
,IL,"Chicago, IL",3416,,,,"41.830868,-87.627124",1,Boeing/PTC/BAE Systems & Youth Connection Leadership Academy,,,,,,,,
,TX,"Austin, TX",3417,,,,"30.148984,-97.801855",1,Texas High School Project-Communities Foundation of Texas & Akins,,,,,,,,
,WI,"Plymouth, WI",3418,,,,"43.720436,-87.811401",1,Kohler Company / Hagemeyer & Plymouth High School,,,,,,,,
,NY,"New York, NY",3419,,,,"40.785657,-73.954463",1,SRT & Hunter College High School,,,,,,,,
,MI,"Marysville, MI",3421,,,,"42.918478,-82.502885",1,SRT & Industrial Technology Academy of St. Clair County,,,,,,,,
,MI,"Detroit, MI",3422,,,,"42.331427,-83.0457538",0,Detroit Public Schools,,,,,,,,
,MI,"Farmington, MI",3423,,,,"42.515956,-83.37599",1,North Farmington High School,,,,,,,,
,MI,"Flint, MI",3450,,,,"43.019141,-83.678241",1,,,,,,,,,
,ME,"Sanford, ME",3451,,,,"43.453433,-70.784311",1,,,,,,,,,
,MI,"Berrien Springs, MI",3452,,,,"41.944751,-86.349578",1,,,,,,,,,
,CA,"Winchester, CA",3453,,,,"33.604672,-117.086105",1,,,,,,,,,
,MN,"Mahtomedi, MN",3454,,,,"45.059578,-92.942748",1,,,,,,,,,
,VA,"Alexandria, VA",3455,,,,"38.818662,-77.168763",1,,,,,,,,,
,ID,"Pocatello, ID",3456,,,,"42.871303,-112.445534",1,,,,,,,,,
,OK,"Lawton, OK",3457,,,,"34.60865,-98.335649",1,,,,,,,,,
,MI,"Holland, MI",3458,,,,"42.78466,-86.096934",1,,,,,,,,,
,NC,"Cary, NC",3459,,,,"35.79154,-78.781117",0,,,,,,,,,
,NY,"Brentwood , NY",3460,,,,"40.771978124671044, -73.2549262046814",1,,,,,,,,,
,CT,"Torrington, CT",3461,,,,"41.800652,-73.121221",0,,,,,,,,,
,Mexico,"Toluca, MEX Mexico",3462,,,,"19.286497,-99.640439",0,,,,,,,,,
,OK,"Salina, OK",3463,,,,"36.300172,-95.148585",1,,,,,,,,,
,CT,"Simsbury, CT",3464,,,,"41.870134,-72.824143",1,,,,,,,,,
,OK,"Mustang, OK",3465,,,,"35.385178,-97.7258",1,,,,,,,,,
,MA,"Westford , MA",3466,,,,"42.570839,-71.409773",1,,,,,,,,,
,NH,"Windham, NH",3467,,,,"42.795007,-71.322534",1,,,,,,,,,
,LA,"West Monroe, LA",3468,,,,"32.512809,-92.140259",1,,,,,,,,,
,AL,"Mobile, AL",3469,,,,"30.686469,-88.065108",1,,,,,,,,,
,CA,"Temecula, CA",3470,,,,"33.500058,-117.160032",1,,,,,,,,,
,LA,"Gretna, LA",3471,,,,"29.910372,-90.045148",1,,,,,,,,,
,Mexico,"Atizapan de Zaragoza, MEX Mexico",3472,,,,"19.556228,-99.267471",0,,,,,,,,,
,CA,"Diamond Bar, CA",3473,,,,"33.984158,-117.839078",1,,,,,,,,,
,NY,"Hampton Bays , NY",3474,,,,"40.874178193029145, -72.50847816467285",1,,,,,,,,,
,SC,"Charleston, SC",3475,,,,"32.819249,-80.073894",1,,,,,,,,,
,CA,"Dana Point, CA",3476,,,,"33.466972,-117.698107",0,,,Homeschool,,,,,,
,CA,"Chula Vista, CA",3477,,,,"32.623313,-116.960089",1,,,,,,,,,
,Mexico,"San Luis Potosí, SL Mexico",3478,,,,"22.15647,-100.985541",0,,,,,,,,,
,MA,"Everett, MA",3479,,,,"42.414317,-71.043708",1,,,,,,,,,
,Mexico,"León, GJ Mexico",3480,,,,"21.123619,-101.680496",0,,,,,,,,,
,TX,"San Antonio, TX",3481,,,,"29.562545,-98.644258",1,,,,,,,,,
,CA,"Campbell, CA",3482,,,,"37.270406,-121.984533",1,,,,,,,,,
,MT,"Bozeman, MT",3483,,,,"45.68141,-111.051424",1,,,,,,,,,
,OH,"Marysville, OH",3484,,,,"40.249627,-83.380952",1,,,,,,,,,
,KS,"Kansas City, KS",3485,,,,"39.113071,-94.650294",1,,,,,,,,,
,CA,"San Diego, CA",3486,,,,"32.752855,-117.076895",1,,,,,,,,,
,IN,"Plainfield , IN",3487,,,,"39.696743,-86.395766",1,,,,,,,,,
,IL,"Orland Park, IL",3488,,,,"41.649547,-87.855073",1,,,,,,,,,
,SC,"North Charleston, SC",3489,,,,"32.922718,-80.232038",1,,,,,,,,,
,SC,"Summerville, SC",3490,,,,"33.103171,-80.120098",1,,,,,,,,,
,CA,"Holtville , CA",3491,,,,"32.815634,-115.386542",1,,,,,,,,,
,WV,"Winfield, WV",3492,,,,"38.53371,-81.922045",1,,,,,,,,,
,NC,"Edenton, NC",3493,,,,"36.06671,-76.604502",1,,,,,,,,,
,IN,"Bloomington, IN",3494,,,,"39.143115,-86.531532",1,,,,,,,,,
,CA,"Fresno, CA",3495,,,,"36.721337,-119.805991",1,,,,,,,,,
,OH,"Columbus, OH",3496,,,,"40.049037,-83.029723",1,,,,,,,,,
,TX,"Midland , TX",3497,,,,"32.051125,-102.126512",1,,,,,,,,,
,OK,"Edmond, OK",3498,,,,"35.682642,-97.624243",1,,,,,,,,,
,NH,"Durham, NH",3499,,,,"43.141517,-70.916662",1,,,,,,,,,
,CA,"Perris, CA",3500,,,,"33.945338,-117.396528",1,,,,,,,,,
,CA,"Sunnyvale, CA",3501,,,,"37.352471,-122.036004",1,,,,,,,,,
,FL,"Tallahassee , FL",3502,,,,"30.435486,-84.316963",1,,,,,,,,,
,CA,"Fair Oaks, CA",3503,,,,"38.633034,-121.287067",1,,,,,,,,,
,PA,"Pittsburgh, PA",3504,,,,"40.454801,-79.916804",1,,,All female team,,,,,,
,CA,"Lincoln, CA",3505,,,,"38.895777,-121.296613",1,,,,,,,,,
,NC,"Charlotte, NC",3506,,,,"35.126685,-80.612372",1,,,,,,,,,
,OK,"Tulsa, OK",3507,,,,"36.065812,-95.870855",1,,,,,,,,,
,TX,"Pittsburg , TX",3508,,,,"33.001552,-94.971654",1,,,,,,,,,
,MI,"Niles, MI",3509,,,,"41.834801,-86.240188",1,,,,,,,,,
,Mexico,"Celaya, GJ Mexico",3510,,,,"20.522222,-100.812222",0,,,,,,,,,
,PA,"New Stanton, PA",3511,1200,,,"40.229333,-79.602378",1,,,,,,,,,
,CA,"Orcutt, CA",3512,,,,"34.861356,-120.443137",1,,,,,,,,,
,ID,"Rathdrum, ID",3513,,,,"47.8156,-116.879575",1,,,,,,,,,
,WV,"Wayne, WV",3514,,,,"38.246841,-82.434381",1,,,,,,,,,
,NJ,"Iselin, NJ",3515,,,,"40.571696,-74.305209",1,,,,,,,,,
,TN,"Memphis, TN",3516,,,,"35.216276,-89.8963",1,,,,,,,,,
,AZ,"Queen Creek, AZ",3517,"64, 1013",,,"33.245447,-111.605591",1,,,,,,,,,
,FL,"3810 W Educational Path, Lecanto, FL",3518,,,,"28.820892, -82.492358",1,,,,,,,,,
,MO,"Hannibal, MO",3519,,,,"39.72288,-91.3919",1,,,,,,,,,
,FL,"Coral Springs, FL",3520,,,,"26.27416,-80.220954",1,,,,,,,,,
,CA,"Indio, CA",3521,,,,"33.729153,-116.268728",1,,,,,,,,,
,Mexico,"Toluca, MEX Mexico",3522,,,,"19.287867,-99.646761",0,,,,,,,,,
,MN,"Minneapolis, MN",3524,,,,"44.998793,-93.329926",1,,,,,,,,,
,CT,"Waterbury, CT",3525,,,,"41.545919,-73.056027",1,,,,,,,,,
,Mexico,"Saltillo, CU Mexico",3526,,,,"25.426724,-100.995425",0,,,,,,,,,
,Mexico,"Atizapan, MEX Mexico",3527,,,,"19.176062,-99.488702",0,,,,,,,,,
,MO,"Kansas City, MO",3528,,,,"39.10296, -94.583062",0,,,Team Leader unavailable:https://www.chiefdelphi.com/forums/showpost.php?p=1702815&postcount=11,,,,,,
,TX,"San Antonio, TX",3529,,,,"29.468998,-98.705629",1,,,,,,,,,
,Canada-QC,"Montreal, QC Canada",3530,,,,"45.570842,-73.63239",1,,,,,,,,,
,Canada-QC,"Montreal, QC Canada",3531,,,,"45.564884,-73.523498",1,,,,,,,,,
,Canada-QC,"Saint-Hubert, QC Canada",3532,,,,"45.494997,-73.562826",1,,,,,,,,,
,Canada-QC,"Montreal, QC, Canada ",3533,,,,"45.539344,-73.632999",1,,,,,,,,,
,MI,"Davison, MI",3534,,,,"43.026,-83.501265",1,,,,,,,,,
,MI,"Lapeer County, MI",3535,,,,"43.053367,-83.165538",1,,,,,,,,,
,MI,"Hartland, MI",3536,,,,"42.647786,-83.746784",1,,,,,,,,,
,MI,"Indian River, MI",3537,,,,"45.399173,-84.626377",1,,,,,,,,,
,MI,"Auburn Hills, MI",3538,,,,"42.628214,-83.231305",1,,,,,,,,,
,MI,"Washington, MI",3539,,,,"42.805874,-83.012767",1,,,,,,,,,
,NC,"Mooresville, NC",3540,,,,"35.596472,-80.902712",1,,,,,,,,,
,Canada-ON,"Toronto, ON Canada",3541,,,,"43.802225,-79.400881",1,,,,,,,,,
,MI,"Temperance, MI",3542,,,,"41.752031,-83.639727",1,,,,,,,,,
,Canada-ON,"Arnprior , ON Canada",3543,,,,"45.438418,-76.354011",1,,,,,,,,,
,Canada-QC,"North Montreal , QC Canada",3544,,,,"45.598616,-73.640133",1,,,,,,,,,
,TX,"San Antonio, TX",3545,,,,"29.389569,-98.615571",1,,,,,,,,,
,MI,"Grand Haven, MI",3546,,,,"43.011772,-86.211072",1,,,,,,,,,
,MI,"Monroe, MI",3547,,,,"41.916489,-83.471825",1,,,,,,,,,
,MI,"Madison Heights, MI",3548,,,,"42.523624,-83.112482",1,,,,,,,,,
,AL,"Andalusia, AL",3549,,,,"31.390687,-86.416414",1,,,,,,,,,
,Canada-QC,"Lasalle, QC Canada",3550,,,,"45.417169,-73.640783",1,,,,,,,,,
,TX,"San Antonio, TX",3552,,,,"29.449945,-98.511847",1,,,,,,,,,
,PA,"Philadelphia, PA",3553,,,,"39.924288,-75.169945",1,,,,,,,,,
,CA,"Elk Grove, CA",3554,,,,"38.42882,-121.429344",1,,,,,,,,,
,CT,"Storrs, CT",3555,,,,"41.808431,-72.249523",0,,,,,,,,,
,FL,"Lake City, FL",3556,,,,"30.147593,-82.636813",1,,,,,,,,,
,FL,"Brandon, FL",3557,,,,"27.941041,-82.2898",1,,,,,,,,,
,DC,"Washington, DC",3558,,,,"38.84374,-76.976193",1,,,,,,,,,
,IN,"Jasper, IN",3559,,,,"38.4026,-86.95015",1,,,,,,,,,
,Canada-ON,"Brampton, ON Canada",3560,,,,"43.738493,-79.725517",1,,,,,,,,,
,TX,"San Antonio, TX",3561,,,,"29.522712,-98.812081",1,,,,,,,,,
,ID,"Pocatello, ID",3562,,,,"42.871303,-112.445534",0,,,,,,,,,
,Canada-ON,"Innisfil, ON Canada",3563,,,,"44.341766,-79.542666",0,,,,,,,,,
,WI,"Wausau, WI",3564,,,,"44.980661,-89.597926",1,,,,,,,,,
,IN,"Connersville, IN",3565,,,,"39.647514,-85.137569",1,,,,,,,,,
,MA,"Southborough, MA",3566,,,,"42.309526,-71.529389",1,,,,,,,,,
,PA,"Armagh, PA",3567,,,,"40.466597,-79.044034",1,,,,,,,,,
,MI,"Linden, MI",3568,,,,"42.808594,-83.814247",1,,,,,,,,,
,CA,"Fresno, CA",3569,,,,"36.81782,-119.772182",1,,,,,,,,,
,MI,"Alma, MI",3570,,,,"43.390723,-84.656836",1,,,,,,,,,
,Canada-ON,"Milton, ON Canada",3571,,,,"43.507619,-79.869836",1,,,,,,,,,
,MI,"Norton Shores, MI",3572,,,,"43.187245,-86.271644",1,,,,,,,,,
,GA,"Conyers, GA",3573,,,,"33.667797,-84.008361",1,,,,,,,,,
,WA,"Burien, WA",3574,,,,"47.466561,-122.330391",1,,,,,,,,,
,WA,"Okanogan , WA",3575,,,,"48.364975,-119.585109",1,,,,,,,,,
,WA,"Lakewood, WA",3576,,,,"47.157939,-122.51796",1,,,,,,,,,
,AZ,"Scottsdale, AZ",3577,,,,"33.636776,-111.870793",1,,,,,,,,,
,GA,"Alpharetta, GA",3578,,,,"34.061139,-84.239902",1,,,,,,,,,
,FL,"Cape Coral, FL",3580,,,,"26.663046,-82.003198",1,,,,,,,,,
,GA,"Lagrange, GA",3581,,,,"33.002007,-85.017257",1,,,,,,,,,
,TX,"Mission, TX",3582,,,,"26.196032,-98.365402",1,,,,,,,,,
,TX,"San Juan, TX",3583,,,,"26.194305,-98.154856",1,,,,,,,,,
,NH,"Charlestown, NH",3585,,,,"43.369166,-72.33664",1,,,,,,,,,
,WA,"Reardan, WA",3586,,,,"47.667295,-117.876177",1,,,,,,,,,
,WA,"Davenport, WA",3587,,,,"47.651581,-118.151038",1,,,,,,,,,
,WA,"Renton, WA",3588,A15,,,"47.454274,-122.167908",1,,,,,,,,,
,Canada-ON,"Toronto, ON Canada",3590,1835,,,"43.722558,-79.237614",1,,,,,,,,,
,OH,"Westerville, OH",3591,,,,"40.126174,-82.92907",1,,,,,,,,,
,FL,"Port Orange, FL",3592,,,,"29.150288,-81.027133",1,,,,,,,,,
,OK,"Tulsa, OK",3593,,,,"36.051596,-95.957933",1,,,,,,,,,
,VA,"Roanoke, VA",3594,,,,"37.255832,-79.98358",1,,,,,,,,,
,IL,"Chicago, IL",3595,,,,"41.802192,-87.667238",1,,,,,,,,,
,WI,"South Milwaukee, WI",3596,,,,"42.922668,-87.870938",1,,,,,,,,,
,ME,"Kittery, ME",3597,,,,"43.087102,-70.73944",1,,,,,,,,,
,CA,"Sacramento, CA",3598,,,,"38.510496,-121.438181",1,,,,,,,,,
,SC,"Beaufort, SC",3599,,,,"32.43162,-80.742332",1,,,,,,,,,
,GA,"Madison, GA",3600,,,,"33.603305,-83.459573",1,,,Switched to VEX,,,,,,
,MI,"Webberville, MI",3601,,,,"42.668442,-84.170101",1,,,,,,,,,
,MI,"Escanaba, MI",3602,,,,"45.740598,-87.080106",1,,,,,,,,,
,MI,"Reed City , MI",3603,,,,"43.867363,-85.512578",1,,,,,,,,,
,MI,"Brownstown, MI",3604,,,,"42.121323,-83.272216",1,,,,,,,,,
,MI,"Dearborn, MI ",3605,,,,"42.291548,-83.234224",1,,,,,,,,,
,LA,"Baton Rouge, LA",3606,,,,"30.441779,-91.156907",1,,,,,,,,,
,NJ,"Lambertville, NJ",3607,,,,"40.387138,-74.890258",1,,,,,,,,,
,AR,"Sherwood, AR",3608,,,,"34.800655,-92.212818",1,,,,,,,,,
,ME,"South Portland, ME",3609,,,,"43.659608,-70.258742",0,,,,,,,,,
,MN,"Minneapolis, MN",3610,,,,"44.986849,-93.262274",1,,,,,,,,,
,FL,"Lynn Haven , FL",3611,,,,"30.208543,-85.643331",1,,,,,,,,,
,AR,"Springdale, AR",3612,,,,"36.185108,-94.142962",1,,,,,,,,,
,NY,"Greece, NY",3613,,,,"43.221186,-77.67262",1,,,,,,,,,
,TX,"San Antonio, TX",3614,,,,"29.365375,-98.501921",1,,,,,,,,,
,CA,"Sacramento, CA",3615,,,,"38.549006,-121.492992",1,,,,,,,,,
,LA,"Lafayette, LA",3616,,,,"30.156944,-92.03195",1,,,,,,,,,
,MI,"Marquette, MI",3617,,,,"46.556762,-87.41333",1,,,,,,,,,
,MI,"Petoskey, MI",3618,,,,"45.372929,-84.939161",1,,,,,,,,,
,MI,"Detroit, MI",3619,,,,"42.340255,-83.017516",1,,,,,,,,,
,MI,"St. Joseph, MI",3620,,,,"42.089441,-86.492801",1,,,,,,,,,
,MI,"New Haven, MI",3621,,,,"42.725298,-82.79",1,,,,,,,,,
,FL,"Boca Raton, FL",3622,,,,"26.364742,-80.117059",1,,,,,,,,,
,MA,"Leominster, MA",3623,,,,"42.546914,-71.776518",1,,,,,,,,,
,NY,"Dix Hills, NY",3624,,,,"40.8013520028148, -73.35901737213135",1,,,,,,,,,
,VA,"Virginia Beach, VA",3625,,,,"36.843519,-76.126708",1,,,,,,,,,
,TX,"Dallas, TX",3626,,,,"32.935306,-96.843821",1,,,,,,,,,
,FL,"Sarasota, FL",3627,,,,"27.286617,-82.497607",1,,,,,,,,,
,AL,"Scottsboro, AL",3628,,,,"34.672412,-86.003101",1,,,,,,,,,
,PA,"Philadelphia area, PA",3629,,,,"39.971332,-75.250854",0,,,,,,,,,
,MN,"Golden Valley, MN",3630,,,,"44.980698,-93.34247",1,,,,,,,,,
,MI,"Detroit, MI",3632,,,,"42.348784,-83.061027",1,,,,,,,,,
,MN,"Albert Lea, MN",3633,,,,"43.673759,-93.351606",1,,,,,,,,,
,CT,"Bridgeport, CT",3634,,,,"41.190829,-73.167555",1,,,,,,,,,
,GA,"Warner Robins, GA",3635,,,,"32.595287,-83.653899",1,,,,,,,,,
,OR,"Portland, OR",3636,,,,"45.538693,-122.626032",1,,,,,,,,,
,NJ,"Flemington, NJ",3637,,,,"40.517929,-74.8499",1,,,,,,,,,
,MI,"Belleville, MI",3638,,,,"42.203559,-83.49299",1,,,,,,,,,
,MI,"Mesick, MI",3639,,,,"44.403588,-85.709388",1,,,,,,,,,
,MI,"Portage, MI",3640,,,,"42.23376,-85.59931",1,,,,,,,,,
,MI,"South Lyon, MI",3641,,,,"42.470585,-83.650664",1,,,,,,,,,
,MN,"Jackson, MN",3642,,,,"43.623759,-94.999087",1,,,,,,,,,
,CO,"Henderson, CO",3643,,,,"39.916233,-104.837239",1,,,,,,,,,
,UT,"Taylorsville , UT",3644,,,,"40.655905,-111.938817",1,,,,,,,,,
,NY,"Forest Hills, NY",3645,,,,"40.729467,-73.845687",1,,,,,,,,,
,Turkey,"Istanbul, IS Turkey",3646,,,,"41.00527,28.97696",1,,,,,,,,,
,CA,"San Diego, CA",3647,,,,"32.956408,-117.225798",1,,,,,,,,,
,CO,"Denver, CO",3648,,,,"39.647653,-104.920569",1,,,,,,,,,
,MD,"Waldorf, MD",3650,,,,"38.641713,-76.976266",1,,,,,,,,,
,SC,"Travelers Rest, SC",3651,,,,"34.970889,-82.451206",1,,,,,,,,,
,OH,"Kenton, OH",3652,,,,"40.643331,-83.598661",0,,,,,,,,,
,FL,"Pembroke Pines, FL",3653,,,,"26.012137,-80.430357",1,,,,,,,,,
,CT,"Middletown, CT",3654,,,,"41.528403,-72.674475",1,,,All female team,,,,,,
,MI,"Mason, MI",3655,,,,"42.570894,-84.435318",1,,,,,,,,,
,MI,"Dexter, MI",3656,,,,"42.321065,-83.894863",1,,,,,,,,,
,MI,"Warren, MI",3657,,,,"42.461353,-83.020355",1,,,,,,,,,
,MI,"Battle Creek, MI",3658,,,,"42.256599,-85.149512",1,,,,,,,,,
,FL,"Miami, FL",3659,,,,"25.77083,-80.205014",1,,,,,,,,,
,OK,"Oklahoma City, OK",3660,,,,"35.472015, -97.520354",0,,,,,,,,,
,NC,"Wadesboro, NC",3661,,,,"34.960278,-80.076092",1,,,,,,,,,
,WA,"Everett, WA",3662,,,,"47.91684,-122.268991",1,,,,,,,,,
,WA,"Bothell, WA",3663,,,,"47.748078,-122.19043",1,,,,,,,,,
,Canada-ON,"Burlington, ON Canada",3664,,,,"43.304658,-79.853478",1,,,,,,,,,
,UT,"Salt Lake City, UT",3665,,,,"40.683542,-111.82375",1,,,,,,,,,
,LA,"Alexandria, LA",3666,,,,"31.29377,-92.45568",1,,,,,,,,,
,MI,"Port Huron, MI",3667,,,,"43.025505,-82.443992",1,,,,,,,,,
,MI,"Whitmore lake, MI",3668,,,,"42.390178,-83.770331",1,,,,,,,,,
,CA,"Ripon, CA",3669,,,,"37.74352,-121.132314",1,,,,,,,,,
,NY,"Richmond Hill, NY",3670,,,,"40.691817,-73.835615",1,,,,,,,,,
,LA,"Sulphur, LA",3672,,,,"30.233748,-93.370567",1,,,,,,,,,
,OR,"Seaside, OR",3673,,,,"46.006173,-123.916876",1,,,,,,,,,
,WA,"Battle Ground, WA",3674,,,,"45.730749,-122.559442",1,,,,,,,,,
,TN,"Seymour, TN",3675,,,,"35.880685,-83.741916",1,,,,,,,,,
,TX,"4501 W Pleasant Ridge Rd, Arlington, TX",3676,,,,"32.682526, -97.179725",1,,,,,,,,,
,CA,"Pico Rivera, CA",3677,,,,"33.984111,-118.086922",1,,,,,,,,,
,TX,"San Marcos , TX",3679,,,,"29.822383,-97.949915",1,,,,,,,,,
,NC,"Statesville, NC",3680,,,,"35.783163,-80.892901",1,,,,,,,,,
,WA,"Seattle, WA",3681,,,,"47.707533,-122.295659",1,,,,,,,,,
,UT,"Kaysville, UT",3682,,,,"41.035222,-111.938552",0,,,,,,,,,
,Canada-ON,"Waterloo, ON Canada",3683,,,,"43.484909,-80.528476",1,,,,,,,,,
,WA,"Seattle, WA",3684,,,,"47.552295,-122.313505",1,,,,,,,,,
,HI,"Waianae, HI",3685,,,,"21.455747,-158.2004",1,,,,,,,,,
,TN,"Memphis, TN",3686,,,,"35.132244,-89.908437",1,,,,,,,,,
,NY,"Schenectady, NY",3687,,,,"42.814663,-73.910731",1,,,,,,,,,
,MI,"Suttons Bay, MI",3688,,,,"44.972311,-85.654265",1,,,,,,,,,
,MN,"St. Louis Park, MN ",3690,,,,"44.946356,-93.349443",1,,,,,,,,,
,MN,"Northfield, MN",3691,,,,"44.44408,-93.163498",1,,,,,,,,,
,WI,"Janesville, WI",3692,,,,"42.686456,-89.063536",1,,,,,,,,,
